127.0.0.1 - - [26/Sep/2021:14:14:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/team01/certification.jsp HTTP/1.1" 200 5216
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/team01/injeung.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/20210905.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/heart.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/camera.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/talk.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/book.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/cheeze.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/cycle.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/sunset.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/noosa.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:18 +0900] "GET /webJSP/img/001.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:14:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:35:11 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3555
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:35:11 +0900] "GET /webJSP/img/circle.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:35:11 +0900] "GET /webJSP/img/star.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:35:11 +0900] "GET /webJSP/img/halfstar.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:38:51 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:38:51 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3734
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:39:23 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3748
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:39:23 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3748
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:27 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:27 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:27 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:27 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:27 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3896
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:37 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:37 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:37 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:37 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:42:38 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:46:19 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:46:19 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:46:20 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:46:20 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:46:20 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:47:00 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:47:00 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:47:00 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3918
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:49:30 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3937
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:49:31 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 3937
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:53:14 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:53:14 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 4162
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:53:36 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 4140
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:53:55 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 4155
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:53:55 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 4155
0:0:0:0:0:0:0:1 - - [26/Sep/2021:14:53:55 +0900] "GET /webJSP/team01/MyPage02.jsp HTTP/1.1" 200 4155
